id,list_of_equipment_id,equipment_value,created_at,updated_at
1,5,1,2021-07-15 00:09:40,2021-07-15 00:09:40
2,2,0.54,2021-07-15 00:09:49,2021-07-15 00:09:49
3,2,1.1,2021-07-15 00:13:09,2021-07-15 00:13:09
4,5,1,2021-07-15 00:14:05,2021-07-15 00:14:05
5,4,1,2021-07-15 00:16:46,2021-07-15 00:16:46
6,6,1,2021-07-15 00:19:21,2021-07-15 00:19:21
7,1,3.41,2021-07-15 00:19:50,2021-07-15 00:19:50
8,4,1,2021-07-15 00:20:13,2021-07-15 00:20:13
9,5,0,2021-07-15 00:21:45,2021-07-15 00:21:45
10,2,0.27,2021-07-15 00:22:53,2021-07-15 00:22:53
11,5,1,2021-07-15 00:23:34,2021-07-15 00:23:34
12,4,1,2021-07-15 00:23:36,2021-07-15 00:23:36
13,6,1,2021-07-15 00:25:39,2021-07-15 00:25:39
14,4,0,2021-07-15 00:26:36,2021-07-15 00:26:36
15,3,1,2021-07-15 00:26:54,2021-07-15 00:26:54
16,3,2,2021-07-15 00:30:31,2021-07-15 00:30:31
17,5,1,2021-07-15 00:33:59,2021-07-15 00:33:59
18,6,1,2021-07-15 00:36:50,2021-07-15 00:36:50
19,6,0,2021-07-15 00:38:43,2021-07-15 00:38:43
20,6,0,2021-07-15 00:40:20,2021-07-15 00:40:20
21,3,0,2021-07-15 00:43:15,2021-07-15 00:43:15
22,1,5.09,2021-07-15 00:44:42,2021-07-15 00:44:42
23,3,2,2021-07-15 00:45:24,2021-07-15 00:45:24
24,3,2,2021-07-15 00:45:38,2021-07-15 00:45:38
25,5,0,2021-07-15 00:45:59,2021-07-15 00:45:59
26,6,0,2021-07-15 00:46:19,2021-07-15 00:46:19
27,4,1,2021-07-15 00:49:57,2021-07-15 00:49:57
28,1,5.50,2021-07-15 00:50:37,2021-07-15 00:50:37
29,3,2,2021-07-15 00:51:03,2021-07-15 00:51:03
30,5,1,2021-07-15 00:53:01,2021-07-15 00:53:01
31,2,0.17,2021-07-15 00:57:39,2021-07-15 00:57:39
32,3,0,2021-07-15 01:01:26,2021-07-15 01:01:26
33,4,1,2021-07-15 01:06:37,2021-07-15 01:06:37
34,5,0,2021-07-15 01:10:10,2021-07-15 01:10:10
35,2,1.05,2021-07-15 01:11:02,2021-07-15 01:11:02
36,1,11.71,2021-07-15 01:12:01,2021-07-15 01:12:01
37,3,2,2021-07-15 01:13:13,2021-07-15 01:13:13
38,6,0,2021-07-15 01:18:42,2021-07-15 01:18:42
39,5,0,2021-07-15 01:19:31,2021-07-15 01:19:31
40,1,13.36,2021-07-15 01:19:47,2021-07-15 01:19:47
41,2,0.22,2021-07-15 01:20:12,2021-07-15 01:20:12
42,1,3.59,2021-07-15 01:23:59,2021-07-15 01:23:59
43,5,1,2021-07-15 01:26:54,2021-07-15 01:26:54
44,4,1,2021-07-15 01:30:21,2021-07-15 01:30:21
45,3,2,2021-07-15 01:30:41,2021-07-15 01:30:41
46,1,7.14,2021-07-15 01:31:19,2021-07-15 01:31:19
47,4,0,2021-07-15 01:38:06,2021-07-15 01:38:06
48,4,0,2021-07-15 01:43:08,2021-07-15 01:43:08
49,4,0,2021-07-15 01:43:27,2021-07-15 01:43:27
50,3,2,2021-07-15 01:45:40,2021-07-15 01:45:40
51,5,1,2021-07-15 01:46:28,2021-07-15 01:46:28
52,6,1,2021-07-15 01:51:16,2021-07-15 01:51:16
53,5,0,2021-07-15 01:52:49,2021-07-15 01:52:49
54,6,0,2021-07-15 01:53:54,2021-07-15 01:53:54
55,2,0.81,2021-07-15 01:55:07,2021-07-15 01:55:07
56,1,1.59,2021-07-15 01:55:45,2021-07-15 01:55:45
57,5,1,2021-07-15 01:58:38,2021-07-15 01:58:38
58,6,0,2021-07-15 02:07:40,2021-07-15 02:07:40
59,6,1,2021-07-15 02:08:13,2021-07-15 02:08:13
60,5,1,2021-07-15 02:10:52,2021-07-15 02:10:52
61,2,1.58,2021-07-15 02:17:04,2021-07-15 02:17:04
62,6,0,2021-07-15 02:18:41,2021-07-15 02:18:41
63,1,4.63,2021-07-15 02:18:58,2021-07-15 02:18:58
64,5,1,2021-07-15 02:19:11,2021-07-15 02:19:11
65,5,1,2021-07-15 02:20:06,2021-07-15 02:20:06
66,3,0,2021-07-15 02:22:28,2021-07-15 02:22:28
67,1,2.88,2021-07-15 02:22:58,2021-07-15 02:22:58
68,3,1,2021-07-15 02:24:41,2021-07-15 02:24:41
69,3,1,2021-07-15 02:31:02,2021-07-15 02:31:02
70,6,0,2021-07-15 02:31:39,2021-07-15 02:31:39
71,3,0,2021-07-15 02:34:36,2021-07-15 02:34:36
72,6,1,2021-07-15 02:40:42,2021-07-15 02:40:42
73,3,2,2021-07-15 02:42:50,2021-07-15 02:42:50
74,5,1,2021-07-15 02:44:44,2021-07-15 02:44:44
75,3,2,2021-07-15 02:45:24,2021-07-15 02:45:24
76,3,0,2021-07-15 02:45:42,2021-07-15 02:45:42
77,6,0,2021-07-15 02:45:51,2021-07-15 02:45:51
78,6,1,2021-07-15 02:46:33,2021-07-15 02:46:33
79,5,0,2021-07-15 02:50:50,2021-07-15 02:50:50
80,1,6.11,2021-07-15 02:52:41,2021-07-15 02:52:41
81,2,1.01,2021-07-15 02:53:55,2021-07-15 02:53:55
82,2,1.11,2021-07-15 02:54:50,2021-07-15 02:54:50
83,4,1,2021-07-15 02:56:10,2021-07-15 02:56:10
84,6,0,2021-07-15 02:56:48,2021-07-15 02:56:48
85,1,6.07,2021-07-15 02:57:29,2021-07-15 02:57:29
86,6,1,2021-07-15 02:57:37,2021-07-15 02:57:37
87,5,0,2021-07-15 02:57:39,2021-07-15 02:57:39
88,4,1,2021-07-15 03:01:29,2021-07-15 03:01:29
89,2,0.76,2021-07-15 03:02:00,2021-07-15 03:02:00
90,4,0,2021-07-15 03:03:33,2021-07-15 03:03:33
91,1,0.64,2021-07-15 03:06:18,2021-07-15 03:06:18
92,5,0,2021-07-15 03:06:28,2021-07-15 03:06:28
93,4,0,2021-07-15 03:09:21,2021-07-15 03:09:21
94,1,6.08,2021-07-15 03:09:39,2021-07-15 03:09:39
95,3,0,2021-07-15 03:13:00,2021-07-15 03:13:00
96,4,1,2021-07-15 03:16:09,2021-07-15 03:16:09
97,1,6.42,2021-07-15 03:16:13,2021-07-15 03:16:13
